"","16S-bodega-bay-fecal-experiment_Blank.1","16S-bodega-bay-fecal-experiment_Blank.10","16S-bodega-bay-fecal-experiment_Blank.11","16S-bodega-bay-fecal-experiment_Blank.12","16S-bodega-bay-fecal-experiment_Blank.2","16S-bodega-bay-fecal-experiment_Blank.3","16S-bodega-bay-fecal-experiment_Blank.4","16S-bodega-bay-fecal-experiment_Blank.5","16S-bodega-bay-fecal-experiment_Blank.6","16S-bodega-bay-fecal-experiment_Blank.7","16S-bodega-bay-fecal-experiment_Blank.8","16S-bodega-bay-fecal-experiment_Blank.9","16S-bodega-bay-fecal-experiment_CC.B.1.1","16S-bodega-bay-fecal-experiment_CC.B.1.2","16S-bodega-bay-fecal-experiment_CC.B.1.3","16S-bodega-bay-fecal-experiment_CC.B.2.1","16S-bodega-bay-fecal-experiment_CC.B.2.2","16S-bodega-bay-fecal-experiment_CC.B.2.3.1","16S-bodega-bay-fecal-experiment_CC.B.3.1","16S-bodega-bay-fecal-experiment_CC.B.3.2","16S-bodega-bay-fecal-experiment_CC.B.3.3","16S-bodega-bay-fecal-experiment_CC.B.4.1","16S-bodega-bay-fecal-experiment_CC.B.4.2","16S-bodega-bay-fecal-experiment_CC.B.4.3","16S-bodega-bay-fecal-experiment_CC.SG.1.1","16S-bodega-bay-fecal-experiment_CC.SG.1.2","16S-bodega-bay-fecal-experiment_CC.SG.1.3","16S-bodega-bay-fecal-experiment_CC.SG.2.1","16S-bodega-bay-fecal-experiment_CC.SG.2.2","16S-bodega-bay-fecal-experiment_CC.SG.2.3","16S-bodega-bay-fecal-experiment_CC.SG.3.1","16S-bodega-bay-fecal-experiment_CC.SG.3.2","16S-bodega-bay-fecal-experiment_CC.SG.3.3","16S-bodega-bay-fecal-experiment_CC.SG.4.1","16S-bodega-bay-fecal-experiment_CC.SG.4.2","16S-bodega-bay-fecal-experiment_CC.SG.4.3","16S-bodega-bay-fecal-experiment_MM.B.1.1","16S-bodega-bay-fecal-experiment_MM.B.1.2","16S-bodega-bay-fecal-experiment_MM.B.1.3","16S-bodega-bay-fecal-experiment_MM.B.2.1","16S-bodega-bay-fecal-experiment_MM.B.2.2","16S-bodega-bay-fecal-experiment_MM.B.2.3","16S-bodega-bay-fecal-experiment_MM.B.3.1","16S-bodega-bay-fecal-experiment_MM.B.3.2","16S-bodega-bay-fecal-experiment_MM.B.3.3","16S-bodega-bay-fecal-experiment_MM.B.4.1","16S-bodega-bay-fecal-experiment_MM.B.4.2","16S-bodega-bay-fecal-experiment_MM.B.4.3","16S-bodega-bay-fecal-experiment_MM.SG.1.1","16S-bodega-bay-fecal-experiment_MM.SG.1.2","16S-bodega-bay-fecal-experiment_MM.SG.1.3","16S-bodega-bay-fecal-experiment_MM.SG.2.1","16S-bodega-bay-fecal-experiment_MM.SG.2.2","16S-bodega-bay-fecal-experiment_MM.SG.2.3","16S-bodega-bay-fecal-experiment_MM.SG.3.1","16S-bodega-bay-fecal-experiment_MM.SG.3.2","16S-bodega-bay-fecal-experiment_MM.SG.3.3","16S-bodega-bay-fecal-experiment_MM.SG.4.1","16S-bodega-bay-fecal-experiment_MM.SG.4.2","16S-bodega-bay-fecal-experiment_MM.SG.4.3","16S-bodega-bay-fecal-experiment_NegCtrl1","16S-bodega-bay-fecal-experiment_NegCtrl2","16S-bodega-bay-fecal-experiment_WP.MFH.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.1.2","16S-bodega-bay-fecal-experiment_WP.MFH.1.3","16S-bodega-bay-fecal-experiment_WP.MFH.2.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.2.2","16S-bodega-bay-fecal-experiment_WP.MFH.2.3","16S-bodega-bay-fecal-experiment_WP.MFH.3.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.3.2","16S-bodega-bay-fecal-experiment_WP.MFH.3.3","16S-bodega-bay-fecal-experiment_WP.MFH.4.1.1","16S-bodega-bay-fecal-experiment_WP.MFH.4.2","16S-bodega-bay-fecal-experiment_WP.MFH.4.3","16S-bodega-bay-fecal-experiment_WP.MFL.1.1","16S-bodega-bay-fecal-experiment_WP.MFL.1.2","16S-bodega-bay-fecal-experiment_WP.MFL.1.3","16S-bodega-bay-fecal-experiment_WP.MFL.2.1.1","16S-bodega-bay-fecal-experiment_WP.MFL.2.2.1","16S-bodega-bay-fecal-experiment_WP.MFL.2.3.1","16S-bodega-bay-fecal-experiment_WP.MFL.3.1","16S-bodega-bay-fecal-experiment_WP.MFL.3.2","16S-bodega-bay-fecal-experiment_WP.MFL.3.3","16S-bodega-bay-fecal-experiment_WP.MFL.4.1.1","16S-bodega-bay-fecal-experiment_WP.MFL.4.2","16S-bodega-bay-fecal-experiment_WP.MFL.4.3","16S-bodega-bay-fecal-experiment_WP.SG.1.1","16S-bodega-bay-fecal-experiment_WP.SG.1.2","16S-bodega-bay-fecal-experiment_WP.SG.1.3","16S-bodega-bay-fecal-experiment_WP.SG.2.1","16S-bodega-bay-fecal-experiment_WP.SG.2.2","16S-bodega-bay-fecal-experiment_WP.SG.2.3","16S-bodega-bay-fecal-experiment_WP.SG.3.1","16S-bodega-bay-fecal-experiment_WP.SG.3.2","16S-bodega-bay-fecal-experiment_WP.SG.3.3","16S-bodega-bay-fecal-experiment_WP.SG.4.1","16S-bodega-bay-fecal-experiment_WP.SG.4.2","16S-bodega-bay-fecal-experiment_WP.SG.4.3","16S-bodega-bay-fecal-experiment_Zymo.Ctrl1","16S-bodega-bay-fecal-experiment_Zymo.Ctrl2"
"1.1.1.130",0,0,98,0,19,202,0,0,0,0,113,30,98,283,298,154,316,49,215,373,518,196,421,332,91,239,135,349,297,260,220,8441,718,178,310,467,127,268,15,168,91,84,29,30,120,553,156,309,122,61,0,35,210,186,74,65,109,48,160,168,0,45,279,403,329,127,247,290,160,292,238,352,855,140,245,295,129,381,178,207,208,308,286,101,199,265,131,154,158,312,411,76,141,219,188,193,356,163,785,1057
"1.1.1.132",0,404,289,0,0,5,430,0,0,62,607,0,881,1737,2226,805,643,371,1243,2102,2043,872,1206,1519,446,803,154,804,962,768,359,12356,1425,1154,382,542,1030,1397,231,3215,2105,1232,642,712,1004,506,887,1009,1518,760,5,1053,1315,727,1001,1084,994,1066,1748,870,84,0,1049,1869,1215,536,720,603,334,1805,893,331,196,1025,955,879,595,218,157,213,846,1748,786,514,772,540,467,691,947,1433,862,123,1048,1072,985,719,1476,1156,1857,2474
"1.1.1.133",0,28919,6046,84,959,6293,2940,4053,1556,1473,8068,362,10696,30301,31362,13573,13815,15533,30895,38107,38716,17709,25020,28870,10653,24733,13325,24046,21102,15206,17571,484808,58295,31389,19952,29505,18009,26780,5807,52411,33110,24106,12984,14847,20931,30546,28270,29964,30672,16386,28,20703,33655,19184,26339,29599,26016,26764,34694,27618,1496,240,27909,49250,32371,18592,19796,15218,22796,28447,26380,23602,25359,15351,27588,25934,15454,28403,21723,15957,33405,30374,13912,13239,10611,23531,15350,20140,23792,33209,20248,4780,23357,21754,23111,21479,33097,24473,10373,14287
"1.1.1.135",0,9217,59,0,17,127,0,0,0,0,166,1,123,452,485,133,98,79,302,240,320,81,80,143,234,369,118,175,133,93,0,2866,397,436,61,642,291,324,76,624,364,437,119,122,208,112,186,181,409,213,0,264,312,198,339,362,263,295,472,303,0,51,28,53,0,47,0,0,0,0,7,2,52,0,0,14,0,0,0,0,0,11,0,0,0,0,204,245,434,504,135,25,343,353,310,281,432,379,0,0
"1.1.1.136",0,13673,2363,25,233,2841,1248,1553,910,126,3058,376,4943,14779,15329,6985,6503,6896,15985,16641,15983,6103,8725,10887,5367,13220,6144,10213,8778,6944,7972,219116,24201,16019,6658,8622,7685,11508,2386,24528,15180,11613,4922,5698,8199,7025,9287,10181,13851,7337,19,8994,13324,7225,11097,12594,10231,10439,14328,11409,660,147,11859,18913,11010,7640,7253,5777,8862,11090,10492,9483,9024,5614,10977,10156,5426,12621,9750,6434,11321,10434,5454,5529,4033,9450,7171,9524,12749,16591,7368,1469,11466,10981,12927,10270,16001,13125,0,0
"1.1.1.137",0,9,29,0,7,204,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,2527
"1.1.1.14",0,9033,1614,25,133,1478,1249,259,710,88,2506,199,1979,8879,9896,3376,4140,3363,9682,11003,8584,3748,5212,7038,2428,6053,2523,4668,3732,3035,5395,146890,14100,11371,4372,5423,3686,6756,1240,20298,12115,9754,2984,3186,4845,8897,5992,6184,9472,4034,0,6683,7987,4616,6996,8614,5706,6848,11686,7144,189,110,6416,10324,9320,5512,4882,4631,7778,7718,6608,5358,7088,3971,8142,7687,4418,8928,8242,5658,10376,8785,4526,4440,3165,8443,4023,5781,8673,8911,3835,848,6853,7354,8832,6706,9307,9250,8324,11388
"1.1.1.140",0,2684,103,0,31,187,645,1116,110,68,995,0,583,1954,2448,774,737,429,2406,2016,1450,320,639,895,627,1572,543,1022,858,818,206,29368,3529,3000,493,690,741,1263,164,4986,2884,2389,705,775,971,2659,795,975,2458,971,0,1699,1410,798,1448,1804,902,1375,2908,1276,316,26,932,790,270,816,391,390,147,813,504,401,442,380,726,947,245,315,314,238,483,496,135,340,391,405,1074,1336,2451,2545,518,80,1924,1955,2588,1927,2394,2475,1417,1920
"1.1.1.145",0,57,104,0,62,106,2,0,0,64,433,0,80,327,256,114,274,571,342,444,853,558,636,873,132,198,226,497,377,239,264,9168,1536,356,650,859,225,356,90,368,220,113,183,192,394,518,528,641,250,159,0,249,623,372,383,437,742,381,323,407,162,0,634,1185,523,620,534,294,676,656,729,477,304,455,583,487,240,734,588,353,987,683,343,375,241,746,149,210,114,229,303,55,297,174,148,221,273,137,0,0
"1.1.1.157",0,19500,4751,98,1058,3809,1781,4118,1932,1445,7573,845,10594,32432,32784,15638,13872,16017,33744,39547,36001,14344,20316,26668,11848,27161,12942,23770,21072,16054,12319,437564,53398,34780,14704,28988,17295,24924,5423,51553,32877,25949,10728,12840,18501,19540,23553,24350,29478,15895,37,20193,30848,15931,25200,28574,27224,26300,33982,25803,1032,350,23822,35406,19199,19226,15222,10444,14836,24142,22716,17522,15624,13351,20327,19555,10954,22500,16494,13020,24736,21333,10694,11678,8857,18092,14547,18065,24378,31690,15210,2723,25448,24658,27025,21507,31509,26852,7694,10510
"1.1.1.159",0,16212,972,0,140,440,134,392,407,311,704,0,1223,2959,3892,1472,2022,2450,3728,4642,5432,3163,4422,4668,921,2101,2064,3337,2938,1757,3542,78606,11314,3014,5039,7497,2234,3138,725,4124,2426,1332,1699,1970,2772,4873,4902,4543,2648,1644,0,1955,4038,2640,2544,3088,3332,2882,3290,2998,0,19,4096,9755,7990,2064,3524,2554,5482,4207,4732,3772,4387,2184,4995,4313,3460,6114,5316,3488,6513,5746,2517,2189,1278,5502,2448,3380,2886,3529,4241,984,3256,2198,1959,3052,4919,2619,333,442
"1.1.1.16",0,28,36,0,0,154,7,108,0,311,0,0,61,291,190,43,288,478,300,688,1060,803,1188,1078,61,162,239,571,650,319,804,15714,1908,278,1083,1654,220,365,83,237,239,19,240,294,399,2474,1028,1033,172,120,0,214,848,588,394,347,624,411,358,572,0,0,745,1619,1545,555,697,617,1396,992,1260,1138,1830,497,982,891,649,2622,2638,1611,1312,1104,782,703,229,2068,372,251,109,429,602,98,134,87,68,102,454,111,0,0
"1.1.1.163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,0,0,0,0,30,0,83,28,0,0,288,0,0,22,23,0,0,0,0,0,0,0,0,0,92,0,0,13,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,37,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"1.1.1.169",0,11462,4161,28,683,3575,2228,2593,2282,731,7378,473,7929,23873,24155,10369,10527,13899,25209,29070,30510,13061,17250,21769,8017,19744,11089,19246,16470,11516,12136,323523,41569,23981,12260,22575,13405,19890,4403,37263,23157,16637,8991,10360,13967,24618,22046,22495,22695,12374,29,15718,24396,14263,20658,23093,21818,22177,26384,22327,922,275,22822,35997,20879,14947,14066,10253,14657,21101,20633,18720,14264,11295,19092,18664,10651,19875,15115,11875,21216,18351,9241,10409,7900,16265,9652,13086,16296,22185,11559,2776,17593,16163,17705,14648,20220,17374,16677,22990
"1.1.1.17",0,1843,158,33,144,376,26,110,99,15,1465,28,175,728,733,343,521,199,486,861,876,527,1030,636,194,360,152,634,655,629,918,16977,1372,475,714,4346,243,338,30,654,316,197,201,117,324,1929,656,946,394,184,0,303,528,372,334,443,420,340,672,453,191,2,1051,1256,1077,503,610,663,839,932,520,938,1756,445,886,858,524,1371,974,713,819,793,1132,384,442,896,300,100,288,529,454,94,285,230,315,198,574,364,5883,8330
"1.1.1.173",0,50,0,0,66,288,0,0,0,0,867,273,40,127,69,23,40,6,52,64,158,59,154,92,0,74,0,79,140,0,0,1992,182,7,142,132,30,2,0,29,25,0,0,15,144,0,0,0,34,9,0,30,115,98,116,107,39,26,0,0,21,0,101,466,147,58,121,4,309,71,56,190,0,36,119,138,14,35,0,0,155,246,32,13,68,145,0,20,38,66,34,0,23,22,58,59,62,35,0,0
"1.1.1.175",0,9494,18,0,111,526,7,0,0,311,3720,546,26,245,94,48,329,503,304,808,1156,899,1308,1084,44,124,277,505,585,418,874,17992,2088,230,1240,1806,276,431,106,360,321,30,258,357,487,2122,1164,1170,200,137,0,226,988,659,458,422,720,434,368,608,1003,46,836,1733,1819,609,809,737,1559,1136,1295,1260,1994,572,1184,1023,803,2714,2894,1707,1518,1272,882,720,261,2320,214,237,77,415,582,98,134,81,72,117,426,98,0,0
"1.1.1.178",0,2,27,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.179",0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,31,0,12,0,0,24,14,0,0,8,19,15,14,0,0,0,26,83,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"1.1.1.18",0,4883,945,0,173,866,156,257,392,331,5089,103,457,2361,2234,1023,1432,1510,2626,3141,3914,2275,2584,3551,550,1722,869,2344,1921,1102,3271,60724,6442,3196,2428,5365,1155,2067,441,4371,2630,1761,930,882,1645,3961,2492,2774,2202,856,0,1576,3378,1758,2228,2294,2346,2282,2922,2256,457,0,3616,7072,5854,2613,2986,2365,4598,4240,3941,2873,2613,2202,4746,3928,2406,5224,4948,3096,6824,5560,2702,2444,1741,4791,1222,1796,1996,2684,1448,296,1628,1496,1997,1833,2597,1925,16680,24008
"1.1.1.181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
