"","description"
"1.14.13.232","6-methylpretetramide 4-monooxygenase"
"1.14.13.233","4-hydroxy-6-methylpretetramide 12a-monooxygenase"
"1.14.13.235","Indole-3-acetate monooxygenase"
"1.14.13.236","Toluene 4-monooxygenase"
"1.14.13.238","Dimethylamine monooxygenase"
"1.14.13.239","Carnitine monooxygenase"
"1.14.13.24","3-hydroxybenzoate 6-monooxygenase"
"1.14.13.25","Methane monooxygenase (soluble)"
"1.14.13.29","4-nitrophenol 2-monooxygenase"
"1.14.13.40","Anthraniloyl-CoA monooxygenase"
"1.14.13.50","Pentachlorophenol monooxygenase"
"1.14.13.59","L-lysine N(6)-monooxygenase (NADPH)"
"1.14.13.69","Alkene monooxygenase"
"1.14.13.7","Phenol 2-monooxygenase (NADPH)"
"1.14.13.70","Transferred entry 1.14.14.154"
"1.14.13.8","Flavin-containing monooxygenase"
"1.14.13.81","Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase"
"1.14.13.82","Vanillate monooxygenase"
"1.14.13.83","Precorrin-3B synthase"
"1.14.13.84","4-hydroxyacetophenone monooxygenase"
"1.14.13.9","Kynurenine 3-monooxygenase"
"1.14.13.92","Phenylacetone monooxygenase"
"1.14.14.1","Unspecific monooxygenase"
"1.14.14.11","Styrene monooxygenase"
"1.14.14.12","3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase"
"1.14.14.15","protein SgcC2] monooxygenase"
"1.14.14.17","Squalene monooxygenase"
"1.14.14.18","Heme oxygenase (biliverdin-producing)"
"1.14.14.21","Dibenzothiophene monooxygenase"
"1.14.14.27","Resorcinol 4-hydroxylase (FADH(2))"
"1.14.14.28","Long-chain alkane monooxygenase"
"1.14.14.3","Bacterial luciferase"
"1.14.14.30","Isobutylamine N-monooxygenase"
"1.14.14.35","Dimethylsulfone monooxygenase"
"1.14.14.46","Pimeloyl-[acyl-carrier protein] synthase"
"1.14.14.47","Nitric-oxide synthase (flavodoxin)"
"1.14.14.5","Alkanesulfonate monooxygenase"
"1.14.14.8","Anthranilate 3-monooxygenase (FAD)"
"1.14.14.9","4-hydroxyphenylacetate 3-monooxygenase"
"1.14.15.11","Pentalenic acid synthase"
"1.14.15.13","Pulcherriminic acid synthase"
"1.14.15.14","Methyl-branched lipid omega-hydroxylase"
"1.14.15.17","Pheophorbide a oxygenase"
"1.14.15.20","Heme oxygenase (biliverdin-producing, ferredoxin)"
"1.14.15.22","Vitamin D 1,25-hydroxylase"
"1.14.15.23","Chloroacetanilide N-alkylformylase"
"1.14.15.24","Beta-carotene 3-hydroxylase"
"1.14.15.3","Alkane 1-monooxygenase"
"1.14.15.7","Choline monooxygenase"
"1.14.15.8","Steroid 15-beta-monooxygenase"
"1.14.15.9","Spheroidene monooxygenase"
"1.14.16.1","Phenylalanine 4-monooxygenase"
"1.14.16.2","Tyrosine 3-monooxygenase"
"1.14.17.1","Dopamine beta-monooxygenase"
"1.14.17.3","Peptidylglycine monooxygenase"
"1.14.18.1","Tyrosinase"
"1.14.18.2","CMP-N-acetylneuraminate monooxygenase"
"1.14.18.3","Methane monooxygenase (particulate)"
"1.14.18.5","Sphingolipid C4-monooxygenase"
"1.14.18.6","4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase"
"1.14.19.1","Stearoyl-CoA 9-desaturase"
"1.14.19.11","Acyl-[acyl-carrier-protein] 4-desaturase"
"1.14.19.17","Sphingolipid 4-desaturase"
"1.14.19.2","Stearoyl-[acyl-carrier-protein] 9-desaturase"
"1.14.19.20","Delta(7)-sterol 5(6)-desaturase"
"1.14.19.22","Acyl-lipid omega-6 desaturase (cytochrome b5)"
"1.14.19.23","Acyl-lipid (n+3)-(Z)-desaturase (ferredoxin)"
"1.14.19.25","Acyl-lipid omega-3 desaturase (cytochrome b5)"
"1.14.19.26","Acyl-[acyl-carrier-protein] 6-desaturase"
"1.14.19.3","Acyl-CoA 6-desaturase"
"1.14.19.35","sn-2 acyl-lipid omega-3 desaturase (ferredoxin)"
"1.14.19.36","sn-1 acyl-lipid omega-3 desaturase (ferredoxin)"
"1.14.19.43","Palmitoyl-[glycerolipid] 3-(E)-desaturase"
"1.14.19.45","sn-1 oleoyl-lipid 12-desaturase"
"1.14.19.48","Tert-amyl alcohol desaturase"
"1.14.19.49","Tetracycline 7-halogenase"
"1.14.19.6","Acyl-CoA (9+3)-desaturase"
"1.14.19.8","Pentalenolactone synthase"
"1.14.19.9","Tryptophan 7-halogenase"
"1.14.21.7","Transferred entry 1.14.19.69"
"1.14.21.9","Transferred entry 1.14.19.70"
"1.14.99.1","Prostaglandin-endoperoxide synthase"
"1.14.99.29","Deoxyhypusine monooxygenase"
"1.14.99.39","Ammonia monooxygenase"
"1.14.99.44","Diapolycopene oxygenase"
"1.14.99.46","Pyrimidine monooxygenase"
"1.14.99.48","Heme oxygenase (staphylobilin-producing)"
"1.14.99.49","Transferred entry 1.14.15.31"
"1.14.99.50","Gamma-glutamyl hercynylcysteine S-oxide synthase"
"1.14.99.53","Lytic chitin monooxygenase"
"1.14.99.56","Lytic cellulose monooxygenase (C4-dehydrogenating)"
"1.14.99.57","Heme oxygenase (mycobilin-producing)"
