"","V1","V2","V3","V4","V5","V6","V7"
"01c226d7bd98aed4cb6766a144a41894","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Unassigned","Unassigned"
"01ccfea3f6c0a6602c990c6c035c69a0","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"01de125dcee89a72982f3ca9b885461d","Bacteria","Proteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned"
"01eb43b0b59afd53e09ae948a8f0f171","Bacteria","Chloroflexi","Dehalococcoidia","Unassigned","Unassigned","Unassigned","Unassigned"
"01ebb92b1c12b94d4c9f813891d24791","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","uncultured","uncultured bacterium"
"01f0b97acfa3d3182409e6b5d3ec5a10","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","uncultured bacterium"
"02029cebaea106c28fe0beb7a5f9084c","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","Unassigned","Unassigned","Unassigned"
"0203071eec9fbf6b50796c3f1861fede","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatella","uncultured bacterium"
"02045b0bdbf9b68ad8170729b1f6a719","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10","uncultured bacterium"
"02155d98ffa5ea4925cd32a753d38838","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured","uncultured bacterium","Unassigned"
"021c44c622d951ebd3d4b956ecd95578","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","uncultured organism"
"02210de40ae3cc85b2612a83fe7c050f","Bacteria","NB1-j","uncultured bacterium","Unassigned","Unassigned","Unassigned","Unassigned"
"0221c30a05a0594ebe6324a579a5ee23","Bacteria","Planctomycetota","OM190","uncultured bacterium","Unassigned","Unassigned","Unassigned"
"02247acc90a23fa7b07b29ad9cb33f46","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10","uncultured bacterium"
"0224b1b988a65f1c0c1e138d525d736f","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomix","uncultured Crocinitomix sp."
"0229e4104799b881cc7328bf7e73b792","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Unassigned","Unassigned"
"022ea353da449030f117bb27f6ca5713","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Ulvibacter","uncultured bacterium"
"023078448d0d75b601a88b744d49297a","Bacteria","SAR324 clade(Marine group B)","uncultured bacterium","Unassigned","Unassigned","Unassigned","Unassigned"
"02339b67e068ddc4849e60728177a8e3","Bacteria","Acidobacteriota","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"0236f66c8c735213fc30b8567f731c58","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Unassigned","Unassigned"
"023b09c6e2bc25d735f5b7638720eaff","Bacteria","Planctomycetota","OM190","uncultured bacterium","Unassigned","Unassigned","Unassigned"
"02463610d8220cfaaf79918e803bf7f2","Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","uncultured organism","Unassigned","Unassigned"
"024a071a48a37b3a6702723bcc7d4e9f","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured bacterium"
"02567bfe5ed8d50e8d49d4fabcbc5033","Bacteria","Myxococcota","Polyangia","PS-B29","uncultured organism","Unassigned","Unassigned"
"025b343b65b4423dd44ad93c88cdd2d0","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2","uncultured bacterium","Unassigned"
"02691924d8b04b76b5976b13f21c987f","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","SEEP-SRB1","Unassigned"
"02732f7c2b4a57554e71d5d9d7dc671f","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinocatenispora","Unassigned"
"0279a4967feb32c2daa7c715cb600b2c","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured bacterium","Unassigned"
"028ac5a9945af72b0e1936c0f8702a89","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","uncultured","uncultured bacterium"
"0297f9b0f5583d02665855b43c174acc","Bacteria","Desulfobacterota","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","Desulfatiglans","Unassigned"
"0298842011c926456caa96aade5a9087","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","Unassigned","Unassigned","Unassigned"
"02a2dd04565106f4a0c679b83a969c63","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Unassigned","Unassigned","Unassigned"
"02a66ea246a43083ba22855338d2aedf","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27 clade","Unassigned"
"02ab8b08d515af9328ca961ba340487f","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","uncultured","Unassigned"
"02ca7104710b7d8ddcaf374176cde180","Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae","Unassigned","Unassigned"
"02dae55b0097a9f9f87101d97eda8875","Bacteria","Chloroflexi","Anaerolineae","SBR1031","uncultured bacterium","Unassigned","Unassigned"
"02e964f1b522711ffb55af9b23ab330f","Bacteria","Bacteroidota","Bacteroidia","Bacteroidetes VC2.1 Bac22","uncultured bacterium","Unassigned","Unassigned"
"02ea1a341d63396ad0456ae485cb12ef","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","uncultured","uncultured bacterium"
"02f4082cea41ed92dc128927e01ca9f9","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","uncultured","uncultured bacterium"
"02f50ac7a9007a31e5d8ea5423b2017d","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured","uncultured bacterium"
"02f6949bcda2bca34364bf763ee692c5","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned"
"03033336e6e8adc858b7112d60ccd1b4","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Unassigned","Unassigned","Unassigned"
"030742ee276d80c14608b32d3d839f3f","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007","uncultured bacterium","Unassigned"
"03089f78c3e9d3643872a568b65b0c72","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2","Unassigned","Unassigned"
"032b003c51cf830ab6f436fcee7fa58f","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum","Unassigned"
"033196ac8ed169c2240d7a46258504bf","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Unassigned","Unassigned"
"0336cae272040ff3db7261ce7dd15ca9","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Unassigned","Unassigned","Unassigned"
"033e1dd240ce2543cb2f132cff50adc3","Bacteria","Myxococcota","Polyangia","UASB-TL25","Unassigned","Unassigned","Unassigned"
"0346a68397f96656e8119cf04fba2a72","Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae","uncultured bacterium","Unassigned"
"0353d949ae6c5d9c722420255c8626da","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Roseimarinus","Unassigned"
"0355cd11a467c5b756f7fbeb0b4c118a","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Propionigenium","Unassigned"
"03579e63a06dd977ae58b183df1a23bb","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","uncultured","uncultured bacterium"
"035b6c4391d39aa042d4caf09b8c9494","Bacteria","NB1-j","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"0373f12a894fecfec734d7a49e6cf1d7","Bacteria","Dependentiae","Babeliae","Babeliales","uncultured bacterium","Unassigned","Unassigned"
"037efd14271a00a48daa6c2b94aad28b","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Unassigned","Unassigned"
"038dc1961ceb7ba24d0ef1adf77b9802","Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae","Unassigned","Unassigned"
"038f1ad5aef932a8b2490ca1673c7614","Bacteria","Planctomycetota","Pla3 lineage","uncultured bacterium","Unassigned","Unassigned","Unassigned"
"03a1ddd4b9d35e134c713bb399f8d456","Bacteria","Patescibacteria","Gracilibacteria","Unassigned","Unassigned","Unassigned","Unassigned"
"03b8ab3a61fad2c905f7f8e7904d5145","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","Unassigned","Unassigned","Unassigned"
"03b96e83b9d5ef6c0fc00cf848caff39","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","uncultured","Unassigned"
"03c7a19c7727f1e9e73f8006095a633d","Bacteria","Patescibacteria","Parcubacteria","Candidatus Kaiserbacteria","Unassigned","Unassigned","Unassigned"
"03d147cc22826137d300fe20d62f39b1","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5) clade","Unassigned"
"03e02bcabae57a8b7a004e3a64af9e8f","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned"
"03e1b9a251a4b1e0e8cbd810bf6936aa","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter","uncultured bacterium"
"03e604b4d5db171ec3e7b9bf8be947ef","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"03e63ca0bcf03ec55d5212111113c887","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Flammeovirgaceae","Flexithrix","Unassigned"
"03ec053bddadb3a69a40d9ba1221e3a7","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured bacterium"
"03ec835cb8b3af41135e1a5c1bdd343b","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Persicirhabdus","uncultured bacterium"
"03f0c8791a59de34fa416bb5f94d9dcf","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","uncultured","Unassigned"
"03fc82b873efdd636250ffd59a8b8889","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","uncultured organism"
"0403827cf813cd06fff01e769334a190","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","uncultured","uncultured bacterium","Unassigned"
"04050859306d1847aadba761cf92d8b8","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned"
"04084702fc7df01346589c5ab3835658","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Unassigned","Unassigned"
"0410ad21ff3e9277f4413c43dd762dd1","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium","Unassigned"
"0417b651d0b99fdde977c0f68670296a","Bacteria","LCP-89","uncultured bacterium","Unassigned","Unassigned","Unassigned","Unassigned"
"042303422fa43a849982fd282002a902","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Unassigned","Unassigned","Unassigned"
"0427b2295fd554fb6e791fb37d27faaf","Bacteria","Proteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned"
"042ff97eefc366a511cfb6faa78d75f4","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Sedimenticolaceae","uncultured","uncultured bacterium"
"0434f20bad10364966c336f804323b01","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","uncultured","Unassigned"
"0439c1d5d622f0269995176d0aa8c0f8","Bacteria","Chloroflexi","KD4-96","uncultured bacterium","Unassigned","Unassigned","Unassigned"
"04441cc42dcf12d335933e0adbcc5adf","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007","Unassigned","Unassigned"
"04467a344ce05fbd6409a52e3494860b","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Marine Methylotrophic Group 3","Unassigned"
"044b96f31de2acc2aacf70c978d637c5","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","AKAU3564 sediment group","uncultured bacterium","Unassigned"
"045b1021c16770d890dc101d1e939591","Bacteria","Verrucomicrobiota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae","MSBL3","uncultured bacterium"
"045c8e94ee6e1a518c719c2d90c1de78","Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","uncultured organism","Unassigned","Unassigned"
"0461cff4919d4f26341eceece65fdea6","Bacteria","Desulfobacterota","Desulfuromonadia","PB19","uncultured marine bacterium","Unassigned","Unassigned"
"04630ef684ccb48bd798477d60f23ae7","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 7","Unassigned"
"0464ccf78314493dbfb4475269931b2d","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2","uncultured bacterium","Unassigned"
"0465626fbb80066ddc629162d83d4f1e","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaeromicrobium","Unassigned","Unassigned"
"047d4054066e839d3ef15977d68c019a","Bacteria","Acidobacteriota","Subgroup 22","uncultured bacterium","Unassigned","Unassigned","Unassigned"
"0481b0dd0ce0199ad50e03b6b9f7fae8","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10","uncultured bacterium"
"0483dcc3e36aba9caa78e08fd731858d","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"0487f85f571ac936eda6de781f22e742","Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae","uncultured","Unassigned"
"049c1dc13f5227937ae467038e6e7fb5","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Erythrobacter","Unassigned"
"04afb4ea992637ef196c2a2e9c1c673b","Bacteria","Latescibacterota","uncultured bacterium","Unassigned","Unassigned","Unassigned","Unassigned"
"04b1f8717ffa609e905bf4920356cc12","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Anderseniella","Unassigned"
"04b6913f169dcb9068e9b40b9ee28145","Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae","uncultured","Unassigned"
"04bb24940c278e4333ecf3015f3a2588","Bacteria","Nitrospinota","P9X2b3D02","Unassigned","Unassigned","Unassigned","Unassigned"
"04c80c8cccdd2f445552db54b823f47b","Bacteria","Proteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned"
"04c9ec95b94f9771919f54ccfe5a6122","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured bacterium"
"04cafbef8adc7e5df700793682c44b10","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27 clade","Unassigned"
"04cbe321615fbca6234d21ca5c4afe0b","Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22","uncultured bacterium","Unassigned","Unassigned"
"04cd57b99ff8e5accd7894b9c64a91f7","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007","Unassigned","Unassigned"
"04cdedefc8dc0318e64a5a00f97feeea","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Unassigned","Unassigned","Unassigned"
"04d6b8e7f1c5ec6fb588b1c40e338f42","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula","uncultured bacterium"
"04d9d3fde97d368b4e421fec6bff33d3","Bacteria","Patescibacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned"
"04dc45c204daa3ac4122a9bf74e48f85","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum","uncultured bacterium"
"04e136f4237fd57122ac6edb6e1e4ede","Bacteria","Acidobacteriota","Subgroup 21","uncultured bacterium","Unassigned","Unassigned","Unassigned"
"04eaa660fab1b082d96a56989e9ffbb1","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Unassigned","Unassigned"
"04ebd8f6754c2a0e8cea4d60ff3da0c8","Bacteria","Chloroflexi","Anaerolineae","SBR1031","uncultured bacterium","Unassigned","Unassigned"
"04f53d0ad690cca33e1d8bac346764ab","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes BD2-2","Unassigned","Unassigned"
"0501aea5f1841f7bdbd44cfd3e3a000b","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Unassigned","Unassigned","Unassigned"
"050b3897b0775faf1f02c749613b0993","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","uncultured","Unassigned","Unassigned"
"05197e99b61b3537fdb624c46eff4571","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured","uncultured bacterium"
"051a8ed055ad2b0da2c655802e16eb5b","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","Unassigned"
"051bb1854976bcb4ccb159f6146a1c64","Bacteria","Acidobacteriota","Subgroup 26","uncultured bacterium","Unassigned","Unassigned","Unassigned"
"0521bfc4824ed3593ca05c6f347db6fc","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Lutibacter","Unassigned"
"0533efe202fccc4d335ed5f963e3d315","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","uncultured bacterium"
"053770c674f88fc74233d26dd695cc54","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Schleiferiaceae","Schleiferia","uncultured bacterium"
