"","18S-bodega-bay_Blank1.LUD","18S-bodega-bay_Blank1.RS","18S-bodega-bay_Blank10.RS","18S-bodega-bay_Blank11.RS","18S-bodega-bay_Blank12.RS","18S-bodega-bay_Blank2.LUD","18S-bodega-bay_Blank2.RS","18S-bodega-bay_Blank3.LUD","18S-bodega-bay_Blank3.RS","18S-bodega-bay_Blank4.LUD","18S-bodega-bay_Blank4.RS","18S-bodega-bay_Blank5.LUD","18S-bodega-bay_Blank5.RS","18S-bodega-bay_Blank6.LUD","18S-bodega-bay_Blank6.RS","18S-bodega-bay_Blank7.LUD","18S-bodega-bay_Blank7.RS","18S-bodega-bay_Blank8.LUD","18S-bodega-bay_Blank8.RS","18S-bodega-bay_Blank9.RS","18S-bodega-bay_CC.B.1.1.LUD","18S-bodega-bay_CC.B.1.1.RS","18S-bodega-bay_CC.B.1.2.LUD","18S-bodega-bay_CC.B.1.2.RS","18S-bodega-bay_CC.B.1.3.LUD","18S-bodega-bay_CC.B.1.3.RS","18S-bodega-bay_CC.B.2.1.LUD","18S-bodega-bay_CC.B.2.1.RS","18S-bodega-bay_CC.B.2.2.LUD","18S-bodega-bay_CC.B.2.2.RS","18S-bodega-bay_CC.B.2.3.1.LUD","18S-bodega-bay_CC.B.2.3.1.RS","18S-bodega-bay_CC.B.3.1.LUD","18S-bodega-bay_CC.B.3.1.RS","18S-bodega-bay_CC.B.3.2.LUD","18S-bodega-bay_CC.B.3.2.RS","18S-bodega-bay_CC.B.3.3.LUD","18S-bodega-bay_CC.B.3.3.RS","18S-bodega-bay_CC.B.4.1.LUD","18S-bodega-bay_CC.B.4.1.RS","18S-bodega-bay_CC.B.4.2.LUD","18S-bodega-bay_CC.B.4.2.RS","18S-bodega-bay_CC.B.4.3.LUD","18S-bodega-bay_CC.B.4.3.RS","18S-bodega-bay_CC.SG.1.1.LUD","18S-bodega-bay_CC.SG.1.1.RS","18S-bodega-bay_CC.SG.1.2.LUD","18S-bodega-bay_CC.SG.1.2.RS","18S-bodega-bay_CC.SG.1.3.LUD","18S-bodega-bay_CC.SG.1.3.RS","18S-bodega-bay_CC.SG.2.1.LUD","18S-bodega-bay_CC.SG.2.1.RS","18S-bodega-bay_CC.SG.2.2.LUD","18S-bodega-bay_CC.SG.2.2.RS","18S-bodega-bay_CC.SG.2.3.LUD","18S-bodega-bay_CC.SG.2.3.RS","18S-bodega-bay_CC.SG.3.1.LUD","18S-bodega-bay_CC.SG.3.1.RS","18S-bodega-bay_CC.SG.3.2.LUD","18S-bodega-bay_CC.SG.3.2.RS","18S-bodega-bay_CC.SG.3.3.LUD","18S-bodega-bay_CC.SG.3.3.RS","18S-bodega-bay_CC.SG.4.1.LUD","18S-bodega-bay_CC.SG.4.1.RS","18S-bodega-bay_CC.SG.4.2.LUD","18S-bodega-bay_CC.SG.4.2.RS","18S-bodega-bay_CC.SG.4.3.LUD","18S-bodega-bay_CC.SG.4.3.RS","18S-bodega-bay_MM.B.1.1.LUD","18S-bodega-bay_MM.B.1.1.RS","18S-bodega-bay_MM.B.1.2.LUD","18S-bodega-bay_MM.B.1.2.RS","18S-bodega-bay_MM.B.1.3.LUD","18S-bodega-bay_MM.B.1.3.RS","18S-bodega-bay_MM.B.2.1.LUD","18S-bodega-bay_MM.B.2.1.RS","18S-bodega-bay_MM.B.2.2.LUD","18S-bodega-bay_MM.B.2.2.RS","18S-bodega-bay_MM.B.2.3.LUD","18S-bodega-bay_MM.B.2.3.RS","18S-bodega-bay_MM.B.3.1.LUD","18S-bodega-bay_MM.B.3.1.RS","18S-bodega-bay_MM.B.3.2.LUD","18S-bodega-bay_MM.B.3.2.RS","18S-bodega-bay_MM.B.3.3.LUD","18S-bodega-bay_MM.B.3.3.RS","18S-bodega-bay_MM.B.4.1.LUD","18S-bodega-bay_MM.B.4.1.RS","18S-bodega-bay_MM.B.4.2.LUD","18S-bodega-bay_MM.B.4.2.RS","18S-bodega-bay_MM.B.4.3.LUD","18S-bodega-bay_MM.B.4.3.RS","18S-bodega-bay_MM.SG.1.1.LUD","18S-bodega-bay_MM.SG.1.1.RS","18S-bodega-bay_MM.SG.1.2.LUD","18S-bodega-bay_MM.SG.1.2.RS","18S-bodega-bay_MM.SG.1.3.LUD","18S-bodega-bay_MM.SG.1.3.RS","18S-bodega-bay_MM.SG.2.1.LUD","18S-bodega-bay_MM.SG.2.1.RS","18S-bodega-bay_MM.SG.2.2.LUD","18S-bodega-bay_MM.SG.2.2.RS","18S-bodega-bay_MM.SG.2.3.LUD","18S-bodega-bay_MM.SG.2.3.RS","18S-bodega-bay_MM.SG.3.1.LUD","18S-bodega-bay_MM.SG.3.1.RS","18S-bodega-bay_MM.SG.3.2.LUD","18S-bodega-bay_MM.SG.3.2.RS","18S-bodega-bay_MM.SG.3.3.LUD","18S-bodega-bay_MM.SG.3.3.RS","18S-bodega-bay_MM.SG.4.1.LUD","18S-bodega-bay_MM.SG.4.1.RS","18S-bodega-bay_MM.SG.4.2.LUD","18S-bodega-bay_MM.SG.4.2.RS","18S-bodega-bay_MM.SG.4.3.LUD","18S-bodega-bay_MM.SG.4.3.RS","18S-bodega-bay_NegtCtrl1.Lud","18S-bodega-bay_NegtCtrl1.SeaGrass","18S-bodega-bay_NegtCtrl2.Lud","18S-bodega-bay_NegtCtrl2.SeaGrass","18S-bodega-bay_WP.MFH.1.1.LUD","18S-bodega-bay_WP.MFH.1.1.RS","18S-bodega-bay_WP.MFH.1.2.LUD","18S-bodega-bay_WP.MFH.1.2.RS","18S-bodega-bay_WP.MFH.1.3.LUD","18S-bodega-bay_WP.MFH.1.3.RS","18S-bodega-bay_WP.MFH.2.1.1.LUD","18S-bodega-bay_WP.MFH.2.1.1.RS","18S-bodega-bay_WP.MFH.2.2.LUD","18S-bodega-bay_WP.MFH.2.2.RS","18S-bodega-bay_WP.MFH.2.3.LUD","18S-bodega-bay_WP.MFH.2.3.RS","18S-bodega-bay_WP.MFH.3.1.1.LUD","18S-bodega-bay_WP.MFH.3.1.1.RS","18S-bodega-bay_WP.MFH.3.2.LUD","18S-bodega-bay_WP.MFH.3.2.RS","18S-bodega-bay_WP.MFH.3.3.LUD","18S-bodega-bay_WP.MFH.3.3.RS","18S-bodega-bay_WP.MFH.4.1.1.LUD","18S-bodega-bay_WP.MFH.4.1.1.RS","18S-bodega-bay_WP.MFH.4.2.LUD","18S-bodega-bay_WP.MFH.4.2.RS","18S-bodega-bay_WP.MFH.4.3.LUD","18S-bodega-bay_WP.MFH.4.3.RS","18S-bodega-bay_WP.MFL.1.1.LUD","18S-bodega-bay_WP.MFL.1.1.RS","18S-bodega-bay_WP.MFL.1.2.LUD","18S-bodega-bay_WP.MFL.1.2.RS","18S-bodega-bay_WP.MFL.1.3.LUD","18S-bodega-bay_WP.MFL.1.3.RS","18S-bodega-bay_WP.MFL.2.1.1.LUD","18S-bodega-bay_WP.MFL.2.1.1.RS","18S-bodega-bay_WP.MFL.2.2.1.LUD","18S-bodega-bay_WP.MFL.2.2.1.RS","18S-bodega-bay_WP.MFL.2.3.1.LUD","18S-bodega-bay_WP.MFL.2.3.1.RS","18S-bodega-bay_WP.MFL.3.1.LUD","18S-bodega-bay_WP.MFL.3.1.RS","18S-bodega-bay_WP.MFL.3.2.LUD","18S-bodega-bay_WP.MFL.3.2.RS","18S-bodega-bay_WP.MFL.3.3.LUD","18S-bodega-bay_WP.MFL.3.3.RS","18S-bodega-bay_WP.MFL.4.1.1.LUD","18S-bodega-bay_WP.MFL.4.1.1.RS","18S-bodega-bay_WP.MFL.4.2.LUD","18S-bodega-bay_WP.MFL.4.2.RS","18S-bodega-bay_WP.MFL.4.3.1.2.LUD","18S-bodega-bay_WP.MFL.4.3.1.2.RS","18S-bodega-bay_WP.SG.1.1.LUD","18S-bodega-bay_WP.SG.1.1.RS","18S-bodega-bay_WP.SG.1.2.LUD","18S-bodega-bay_WP.SG.1.2.RS","18S-bodega-bay_WP.SG.1.3.LUD","18S-bodega-bay_WP.SG.1.3.RS","18S-bodega-bay_WP.SG.2.1.LUD","18S-bodega-bay_WP.SG.2.1.RS","18S-bodega-bay_WP.SG.2.2.LUD","18S-bodega-bay_WP.SG.2.2.RS","18S-bodega-bay_WP.SG.2.3.LUD","18S-bodega-bay_WP.SG.2.3.RS","18S-bodega-bay_WP.SG.3.1.LUD","18S-bodega-bay_WP.SG.3.1.RS","18S-bodega-bay_WP.SG.3.2.LUD","18S-bodega-bay_WP.SG.3.2.RS","18S-bodega-bay_WP.SG.3.3.LUD","18S-bodega-bay_WP.SG.3.3.RS","18S-bodega-bay_WP.SG.4.1.LUD","18S-bodega-bay_WP.SG.4.1.RS","18S-bodega-bay_WP.SG.4.2.LUD","18S-bodega-bay_WP.SG.4.2.RS","18S-bodega-bay_WP.SG.4.3.LUD","18S-bodega-bay_WP.SG.4.3.RS","18S-bodega-bay_ZymoMock1.Lud","18S-bodega-bay_ZymoMock1.SeaGrass","18S-bodega-bay_ZymoMock2.Lud","18S-bodega-bay_ZymoMock2.SeaGrass"
"1ace88c69f086a6459b84da64acdee7e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96f9ee22639985453c2c94cc21caa549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7ab73dc912275decfc44a3a82434a647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f6fe046b5a1e9a5f955b3abba9732aaf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9f65fc695d840ba44772fa54d53dbca6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3b56a89b99cf768f852a2eb3c8d9724c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3495f1b401d54bb4b8db5a765ee1c3d0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0
"728c324c95650c72485c260179afb016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,28,0,0,0,0,0,0
"ddd69f98ebe5a183df64061be98b8fbe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7345973862686184d99be99ef65c32e8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99a31334ff2dee346a4f3f5495e02b51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8a865f568017a86c9b4a936c67352e6e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d4fae16ee2ee5544784cf11a6ce8449c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"df6d092d9b42617f06c760a22504a2cc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,11,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4d543939c7a3f1cfcdf5cc9ca4c21b50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92309eabdddf2c57d295f430d4325906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"603b351aa21a74c6fdd79f108449c128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ae78b565532cac8a7c9d207251f790ef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"f4c926c14bdedcc47f33bafeee828a75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a18c1a30881bfa4779de7b4b417f6563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7e553bb07eaf03551a5097c43b2d5d03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3b2c3277cb048fdfb8d6b6a071ba8f36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
